sampleID	Taxonomy	relative_abundance
MV_FEI1_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	59.3501
MV_FEI2_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_FEI3_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	85.42333
MV_FEI4_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	46.70438
MV_FEI4_t2Q15	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.5477
MV_FEI5_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_FEI5_t2Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.02243
MV_FEI5_t3Q15	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_FEM1_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_FEM2_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	1.11421
MV_FEM3_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.2991
MV_FEM4_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.12317
MV_FEM4_t2Q15	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.16714
MV_FEM5_t1Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.02327
MV_FEM5_t2Q14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	3.4839
MV_FEM5_t3Q15	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.01737
MV_MIM1_t1M14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_MIM2_t1M14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_MIM3_t1M14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_MIM4_t1M14	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
MV_MIM4_t2F15	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Enterobacterales-f__Enterobacteriaceae-g__Escherichia-s__Escherichia_coli	0.0
