SGB	Spore_former	Anaerobe	Motile	Gram_negative
SGB10068	0	0	NA	0
SGB10115_group	0	0	0	0
SGB10130	0	0	1	0
SGB10131	0	0	1	0
SGB10139_group	0	0	NA	0
SGB1024	0	0	0	NA
SGB12676	0	0	1	0
SGB1303	0	1	0	0
SGB13972	0	1	0	1
SGB13976	0	1	0	1
SGB13977	0	1	0	NA
SGB13979	0	NA	0	NA
SGB13982	0	1	0	NA
SGB13997	1	NA	0	NA
SGB13999	0	1	0	1
SGB14005	1	1	0	1
SGB14007	1	1	0	1
SGB14017	1	1	0	1
SGB14027	1	1	0	NA
SGB1404	0	1	0	0
SGB14110	0	1	0	NA
SGB14136	0	1	0	1
SGB14193	1	1	0	1
SGB14205	0	1	0	NA
SGB14209	NA	1	0	NA
SGB14215	NA	1	0	1
SGB14237	1	1	0	1
SGB14243	1	1	0	1
SGB14247	0	1	0	1
SGB14248	NA	1	0	1
SGB14250	0	1	0	1
SGB14252	NA	1	0	1
SGB14253	0	1	0	1
SGB14256	0	1	0	1
SGB14263	1	1	0	1
SGB14294	NA	1	0	1
SGB14306	1	1	0	1
SGB14311	1	1	0	1
SGB14313	1	1	0	1
SGB14321	0	1	0	1
SGB14322	0	1	0	1
SGB14334	0	1	0	1
SGB14336	0	1	0	1
SGB14341_group	0	1	0	1
SGB1437	0	1	0	0
SGB14370	0	1	0	1
SGB14373	0	1	0	1
SGB14379	0	1	0	1
SGB14380	0	1	0	1
SGB14397	0	1	0	1
SGB14398	0	1	0	1
SGB14631_group	0	1	0	1
SGB1471	0	1	0	0
SGB1472	0	1	0	0
SGB1473	0	1	0	0
SGB1474	0	1	0	0
SGB1475	0	1	0	0
SGB1477	0	1	0	0
SGB14770	0	1	0	1
SGB14773	0	1	0	1
SGB14786	0	1	0	1
SGB14797_group	0	1	0	1
SGB14809	0	1	0	1
SGB14816	0	1	0	1
SGB14822	0	1	0	1
SGB14824_group	0	1	0	1
SGB14834	NA	1	0	1
SGB14853	NA	1	0	1
SGB14861	NA	1	0	1
SGB14905	NA	1	0	1
SGB14908	1	1	0	1
SGB14921	NA	1	0	NA
SGB14980	0	1	0	1
SGB14990	NA	1	0	1
SGB14991	NA	1	0	1
SGB14993_group	NA	1	0	1
SGB15012	NA	1	0	1
SGB15015	0	1	0	1
SGB15019	0	1	0	1
SGB15022	0	1	0	1
SGB15031_group	0	1	0	1
SGB15035	0	1	0	1
SGB15040	1	1	0	1
SGB15041	1	1	0	1
SGB15042	1	1	0	1
SGB15049	0	1	0	1
SGB15051	0	1	0	1
SGB15052	NA	1	0	1
SGB15054	0	1	0	1
SGB15065	NA	1	0	1
SGB15073	NA	1	1	1
SGB15078	NA	1	0	1
SGB15081	NA	1	0	1
SGB15084	NA	1	0	1
SGB15085	NA	1	0	1
SGB15087	NA	1	0	1
SGB15089	NA	1	0	1
SGB15090	0	1	0	1
SGB15091	0	1	0	1
SGB15093	NA	1	0	1
SGB15095	NA	1	0	1
SGB15097	0	1	0	1
SGB15100	0	1	0	1
SGB15101	NA	1	0	1
SGB15103	NA	1	0	1
SGB15106	0	1	0	1
SGB15107	0	1	0	1
SGB15108	NA	1	0	1
SGB15119	0	1	0	NA
SGB15120	0	1	0	1
SGB15121	1	1	0	1
SGB15132	1	1	NA	1
SGB15145	0	1	0	1
SGB15154	1	1	0	1
SGB15180	1	1	0	1
