SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB10420	uSGB	k__Bacteria-p__Proteobacteria-c__Gammaproteobacteria-o__Pseudomonadales-f__Moraxellaceae-g__GGB7107-s__GGB7107_SGB10420-t__SGB10420	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	GGB7107	GGB7107_SGB10420	SGB10420
SGB12664	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Burkholderiales-f__Comamonadaceae-g__Ottowia-s__Ottowia_sp_Marseille_P4747-t__SGB12664	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia_sp_Marseille_P4747	SGB12664
SGB1315	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB494-o__OFGB494-f__FGB494-g__GGB1022-s__GGB1022_SGB1315-t__SGB1315	Bacteria	Bacteroidetes	CFGB494	OFGB494	FGB494	GGB1022	GGB1022_SGB1315	SGB1315
SGB13164	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Burkholderiales-f__Burkholderiaceae-g__Lautropia-s__Lautropia_sp_KCOM_2505-t__SGB13164	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia_sp_KCOM_2505	SGB13164
SGB13165	kSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Burkholderiales-f__Burkholderiaceae-g__Lautropia-s__Lautropia_mirabilis-t__SGB13165	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	Lautropia_mirabilis	SGB13165
SGB1320	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB496-o__OFGB496-f__FGB496-g__GGB1025-s__GGB1025_SGB1320-t__SGB1320	Bacteria	Bacteroidetes	CFGB496	OFGB496	FGB496	GGB1025	GGB1025_SGB1320	SGB1320
SGB1321	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB497-o__OFGB497-f__FGB497-g__GGB1026-s__GGB1026_SGB1321-t__SGB1321	Bacteria	Bacteroidetes	CFGB497	OFGB497	FGB497	GGB1026	GGB1026_SGB1321	SGB1321
SGB1341	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidetes_unclassified-o__Bacteroidetes_unclassified-f__Bacteroidetes_unclassified-g__Bacteroidetes_unclassified-s__Bacteroidetes_oral_taxon_274-t__SGB1341	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_oral_taxon_274	SGB1341
SGB1343	uSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidetes_unclassified-o__Bacteroidetes_unclassified-f__Bacteroidetes_unclassified-g__Bacteroidetes_unclassified-s__Bacteroidetes_unclassified_SGB1343-t__SGB1343	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified_SGB1343	SGB1343
SGB1395	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB524-o__OFGB524-f__FGB524-g__GGB1088-s__GGB1088_SGB1395-t__SGB1395	Bacteria	Bacteroidetes	CFGB524	OFGB524	FGB524	GGB1088	GGB1088_SGB1395	SGB1395
