SGB	Classification	Taxonomy	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain
SGB14874	uSGB	k__Bacteria-p__Firmicutes-c__CFGB3012-o__OFGB3012-f__FGB3012-g__GGB9479-s__GGB9479_SGB14874-t__SGB14874	Bacteria	Firmicutes	CFGB3012	OFGB3012	FGB3012	GGB9479	GGB9479_SGB14874	SGB14874
SGB17247	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Bifidobacteriales-f__Bifidobacteriaceae-g__Bifidobacterium-s__Bifidobacterium_breve-t__SGB17247	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_breve	SGB17247
SGB17278	kSGB	k__Bacteria-p__Actinobacteria-c__Actinobacteria-o__Bifidobacteriales-f__Bifidobacteriaceae-g__Bifidobacterium-s__Bifidobacterium_animalis-t__SGB17278	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_animalis	SGB17278
SGB1829	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Bacteroidaceae-g__Bacteroides-s__Bacteroides_eggerthii-t__SGB1829	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_eggerthii	SGB1829
SGB1860	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Bacteroidaceae-g__Bacteroides-s__Bacteroides_faecis-t__SGB1860	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_faecis	SGB1860
SGB1861	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Bacteroidaceae-g__Bacteroides-s__Bacteroides_thetaiotaomicron-t__SGB1861	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_thetaiotaomicron	SGB1861
SGB2227	uSGB	k__Bacteria-p__Bacteroidetes-c__CFGB649-o__OFGB649-f__FGB649-g__GGB1627-s__GGB1627_SGB2227-t__SGB2227	Bacteria	Bacteroidetes	CFGB649	OFGB649	FGB649	GGB1627	GGB1627_SGB2227	SGB2227
SGB4037	kSGB	k__Bacteria-p__Firmicutes-c__Erysipelotrichia-o__Erysipelotrichales-f__Erysipelotrichaceae-g__Erysipelatoclostridium-s__Clostridium_innocuum-t__SGB4037	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Clostridium_innocuum	SGB4037
SGB4290	uSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Eubacteriaceae-g__Eubacterium-s__Eubacterium_SGB4290-t__SGB4290	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium_SGB4290	SGB4290
SGB4699	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Lachnospiraceae-g__Lachnoclostridium-s__Clostridium_symbiosum-t__SGB4699	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium_symbiosum	SGB4699
SGB4741	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Clostridiaceae-g__Hungatella-s__Hungatella_hathewayi-t__SGB4741	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella	Hungatella_hathewayi	SGB4741
SGB6174	uSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Clostridiaceae-g__GGB4481-s__GGB4481_SGB6174-t__SGB6174	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	GGB4481	GGB4481_SGB6174	SGB6174
SGB6376	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1765-o__OFGB1765-f__FGB1765-g__GGB4605-s__GGB4605_SGB6376-t__SGB6376	Bacteria	Firmicutes	CFGB1765	OFGB1765	FGB1765	GGB4605	GGB4605_SGB6376	SGB6376
SGB7115	kSGB	k__Bacteria-p__Firmicutes-c__Bacilli-o__Lactobacillales-f__Leuconostocaceae-g__Weissella-s__Weissella_confusa-t__SGB7115	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella_confusa	SGB7115
SGB9226	kSGB	k__Bacteria-p__Verrucomicrobia-c__Verrucomicrobiae-o__Verrucomicrobiales-f__Akkermansiaceae-g__Akkermansia-s__Akkermansia_muciniphila-t__SGB9226	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia_muciniphila	SGB9226
SGB4181	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1323-o__OFGB1323-f__FGB1323-g__GGB3167-s__GGB3167_SGB4181-t__SGB4181	Bacteria	Firmicutes	CFGB1323	OFGB1323	FGB1323	GGB3167	GGB3167_SGB4181	SGB4181
SGB6847	kSGB	k__Bacteria-p__Firmicutes-c__Erysipelotrichia-o__Erysipelotrichales-f__Erysipelotrichaceae-g__Turicibacter-s__Turicibacter_sanguinis-t__SGB6847	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter_sanguinis	SGB6847
SGB6190	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Clostridiaceae-g__Clostridium-s__Clostridium_ventriculi-t__SGB6190	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_ventriculi	SGB6190
SGB6846	kSGB	k__Bacteria-p__Firmicutes-c__Erysipelotrichia-o__Erysipelotrichales-f__Erysipelotrichaceae-g__Turicibacter-s__Turicibacter_sanguinis-t__SGB6846	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter_sanguinis	SGB6846
SGB9224	kSGB	k__Bacteria-p__Verrucomicrobia-c__Verrucomicrobiae-o__Verrucomicrobiales-f__Akkermansiaceae-g__Akkermansia-s__Akkermansia_sp_KLE1605-t__SGB9224	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia_sp_KLE1605	SGB9224
SGB1853	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Bacteroidaceae-g__Bacteroides-s__Bacteroides_fragilis-t__SGB1853	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_fragilis	SGB1853
SGB5736	kSGB	k__Bacteria-p__Firmicutes-c__Negativicutes-o__Acidaminococcales-f__Acidaminococcaceae-g__Acidaminococcus-s__Acidaminococcus_intestini-t__SGB5736	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_intestini	SGB5736
SGB15273	uSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Ruminococcaceae-g__GGB9719-s__GGB9719_SGB15273-t__SGB15273	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	GGB9719	GGB9719_SGB15273	SGB15273
SGB4752	uSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Lachnospiraceae-g__GGB3553-s__GGB3553_SGB4752-t__SGB4752	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	GGB3553	GGB3553_SGB4752	SGB4752
SGB25497	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Ruminococcaceae-g__Ruminococcus-s__Ruminococcus_sp_AF41_9-t__SGB25497	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus_sp_AF41_9	SGB25497
SGB2326	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Ruminococcaceae-g__Faecalibacterium-s__Faecalibacterium_prausnitzii-t__SGB2326	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium_prausnitzii	SGB2326
SGB14932	uSGB	k__Bacteria-p__Firmicutes-c__CFGB3038-o__OFGB3038-f__FGB3038-g__GGB9531-s__GGB9531_SGB14932-t__SGB14932	Bacteria	Firmicutes	CFGB3038	OFGB3038	FGB3038	GGB9531	GGB9531_SGB14932	SGB14932
SGB6771	kSGB	k__Bacteria-p__Firmicutes-c__Erysipelotrichia-o__Erysipelotrichales-f__Erysipelotrichaceae-g__Coprobacillus-s__Coprobacillus_cateniformis-t__SGB6771	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus_cateniformis	SGB6771
SGB4867	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Lachnospiraceae-g__Blautia-s__Blautia_sp_KGMB01111-t__SGB4867	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia_sp_KGMB01111	SGB4867
SGB9260	uSGB	k__Bacteria-p__Proteobacteria-c__Betaproteobacteria-o__Burkholderiales-f__Burkholderiales_unclassified-g__Burkholderiales_unclassified-s__Burkholderiales_unclassified_SGB9260-t__SGB9260	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified	Burkholderiales_unclassified_SGB9260	SGB9260
SGB6358	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1765-o__OFGB1765-f__FGB1765-g__GGB4596-s__GGB4596_SGB6358-t__SGB6358	Bacteria	Firmicutes	CFGB1765	OFGB1765	FGB1765	GGB4596	GGB4596_SGB6358	SGB6358
SGB15120	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Clostridiales_unclassified-g__Evtepia-s__Evtepia_gabavorous-t__SGB15120	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Evtepia	Evtepia_gabavorous	SGB15120
SGB1949	kSGB	k__Bacteria-p__Bacteroidetes-c__Bacteroidia-o__Bacteroidales-f__Tannerellaceae-g__Parabacteroides-s__Parabacteroides_merdae-t__SGB1949	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_merdae	SGB1949
SGB14177	uSGB	k__Bacteria-p__Firmicutes-c__CFGB2915-o__OFGB2915-f__FGB2915-g__GGB9235-s__GGB9235_SGB14177-t__SGB14177	Bacteria	Firmicutes	CFGB2915	OFGB2915	FGB2915	GGB9235	GGB9235_SGB14177	SGB14177
SGB4166	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Clostridiales_unclassified-g__Monoglobus-s__Monoglobus_pectinilyticus-t__SGB4166	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Monoglobus	Monoglobus_pectinilyticus	SGB4166
SGB14937	uSGB	k__Bacteria-p__Firmicutes-c__CFGB3038-o__OFGB3038-f__FGB3038-g__GGB9534-s__GGB9534_SGB14937-t__SGB14937	Bacteria	Firmicutes	CFGB3038	OFGB3038	FGB3038	GGB9534	GGB9534_SGB14937	SGB14937
SGB6179	uSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Clostridiaceae-g__Clostridium-s__Clostridium_SGB6179-t__SGB6179	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_SGB6179	SGB6179
SGB14953	uSGB	k__Bacteria-p__Firmicutes-c__CFGB3042-o__OFGB3042-f__FGB3042-g__GGB9546-s__GGB9546_SGB14953-t__SGB14953	Bacteria	Firmicutes	CFGB3042	OFGB3042	FGB3042	GGB9546	GGB9546_SGB14953	SGB14953
SGB4828	kSGB	k__Bacteria-p__Firmicutes-c__Clostridia-o__Clostridiales-f__Ruminococcaceae-g__Ruminococcus-s__Ruminococcus_sp_AM36_2AA-t__SGB4828	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus_sp_AM36_2AA	SGB4828
SGB14924	uSGB	k__Bacteria-p__Firmicutes-c__CFGB3035-o__OFGB3035-f__FGB3035-g__GGB9524-s__GGB9524_SGB14924-t__SGB14924	Bacteria	Firmicutes	CFGB3035	OFGB3035	FGB3035	GGB9524	GGB9524_SGB14924	SGB14924
SGB3952	uSGB	k__Bacteria-p__Firmicutes-c__CFGB1211-o__OFGB1211-f__FGB1211-g__GGB2970-s__GGB2970_SGB3952-t__SGB3952	Bacteria	Firmicutes	CFGB1211	OFGB1211	FGB1211	GGB2970	GGB2970_SGB3952	SGB3952
